CTPRVN_NM,SGNR_NM,flag_pub_cnt,flag_priv_cnt,flag_pub_priv_cnt,flag_pub_rate,flag_pub_percent,FILE_NAME,BASE_YMD
강원도,강릉시,14,16,30,46.66%,46.66,KC_612_PBL_CLT_STATN_BIZAEA_2021,20200101
강원도,고성군,10,2,12,83.33%,83.33,KC_612_PBL_CLT_STATN_BIZAEA_2021,20200101
강원도,동해시,5,2,7,71.42%,71.42,KC_612_PBL_CLT_STATN_BIZAEA_2021,20200101
강원도,삼척시,8,1,9,88.88%,88.88,KC_612_PBL_CLT_STATN_BIZAEA_2021,20200101
강원도,속초시,7,1,8,87.50%,87.5,KC_612_PBL_CLT_STATN_BIZAEA_2021,20200101
강원도,양구군,9,0,9,100.00%,100,KC_612_PBL_CLT_STATN_BIZAEA_2021,20200101
강원도,양양군,4,1,5,80.00%,80,KC_612_PBL_CLT_STATN_BIZAEA_2021,20200101
강원도,영월군,15,14,29,51.72%,51.72,KC_612_PBL_CLT_STATN_BIZAEA_2021,20200101
강원도,원주시,8,13,21,38.09%,38.09,KC_612_PBL_CLT_STATN_BIZAEA_2021,20200101
강원도,인제군,8,3,11,72.72%,72.72,KC_612_PBL_CLT_STATN_BIZAEA_2021,20200101
강원도,정선군,7,5,12,58.33%,58.33,KC_612_PBL_CLT_STATN_BIZAEA_2021,20200101
